itching,1
skin rash,3
nodal skin eruptions,4
continuous sneezing,4
shivering,5
chills,3
joint pain,3
stomach pain,5
acidity,3
ulcers on tongue,4
muscle wasting,3
vomiting,5
burning micturition,6
spotting urination,6
fatigue,4
weight gain,3
anxiety,4
cold hands and feets,5
mood swings,3
weight loss,3
restlessness,5
lethargy,2
patches in throat,6
irregular sugar level,5
cough,4
high fever,7
sunken eyes,3
breathlessness,4
sweating,3
dehydration,4
indigestion,5
headache,3
yellowish skin,3
dark urine,4
nausea,5
loss of appetite,4
pain behind the eyes,4
back pain,3
constipation,4
abdominal pain,4
diarrhoea,6
mild fever,5
yellow urine,4
yellowing of eyes,4
acute liver failure,6
fluid overload,6
swelling of stomach,7
swelled lymph nodes,6
malaise,6
blurred and distorted vision,5
phlegm,5
throat irritation,4
redness of eyes,5
sinus pressure,4
runny nose,5
congestion,5
chest pain,7
weakness in limbs,7
fast heart rate,5
pain during bowel movements,5
pain in anal region,6
bloody stool,5
irritation in anus,6
neck pain,5
dizziness,4
cramps,4
bruising,4
obesity,4
swollen legs,5
swollen blood vessels,5
puffy face and eyes,5
enlarged thyroid,6
brittle nails,5
swollen extremeties,5
excessive hunger,4
extra marital contacts,5
drying and tingling lips,4
slurred speech,4
knee pain,3
hip joint pain,2
muscle weakness,2
stiff neck,4
swelling joints,5
movement stiffness,5
spinning movements,6
loss of balance,4
unsteadiness,4
weakness of one body side,4
loss of smell,3
bladder discomfort,4
foul smellof urine,5
continuous feel of urine,6
passage of gases,5
internal itching,4
toxic look (typhos),5
depression,3
irritability,2
muscle pain,2
altered sensorium,2
red spots over body,3
belly pain,4
abnormal menstruation,6
dischromic patches,6
watering from eyes,4
increased appetite,5
polyuria,4
family history,5
mucoid sputum,4
rusty sputum,4
lack of concentration,3
visual disturbances,3
receiving blood transfusion,5
receiving unsterile injections,2
coma,7
stomach bleeding,6
distention of abdomen,4
history of alcohol consumption,5
fluid overload,4
blood in sputum,5
prominent veins on calf,6
palpitations,4
painful walking,2
pus filled pimples,2
blackheads,2
scurring,2
skin peeling,3
silver like dusting,2
small dents in nails,2
inflammatory nails,2
blister,4
red sore around nose,2
yellow crust ooze,3
